,/'DataLog'/'Speed',/'DataLog'/'FrontBPS',/'DataLog'/'RearBPS',/'DataLog'/'Active_Regen_Flag ',/'DataLog'/'RegenStatus',/'DataLog'/'Regen_Flag',/'DataLog'/'Regen_Limit',/'DataLog'/'Rear_Bps_Value',/'DataLog'/'Front_BPS_Value',/'DataLog'/'Throttle',/'DataLog'/'Torque_Act',/'DataLog'/'Kalman_Filter_SOC',/'DataLog'/'STA_BrakeStatus ',/'DataLog'/'Vehicle_Speed',/'DataLog'/'Throttle(%)'
0.66,0.0,0.0,0.0,0.0,0.0,1.0,10.0,0.0,0.0,0.0,0.0,93.0,1.0,1.0,100.0
0.67,0.0,0.0,0.0,0.0,0.0,1.0,10.0,0.0,0.0,0.0,0.0,93.0,1.0,1.0,57.0
0.68,0.0,0.0,0.0,0.0,0.0,1.0,10.0,0.0,0.0,0.0,0.0,93.0,1.0,1.0,100.0
0.6900000000000001,0.0,0.8,2.1,0.0,0.0,1.0,10.0,0.0,0.0,0.0,0.0,93.0,1.0,1.0,36.0
0.7000000000000001,0.0,0.0,0.0,0.0,0.0,1.0,10.0,0.0,0.0,0.0,0.0,93.0,1.0,1.0,53.0
0.71,0.0,1.2,2.9,0.0,0.0,1.0,10.0,0.0,0.0,0.0,0.0,93.0,1.0,1.0,0.0
0.72,0.0,0.0,0.0,0.0,0.0,1.0,10.0,0.0,0.0,0.0,0.0,93.0,1.0,1.0,38.0
0.73,0.0,0.0,0.0,0.0,0.0,1.0,10.0,0.0,0.0,11.0,0.0,93.0,1.0,1.0,22.0
0.74,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,40.0,0.0,93.0,1.0,1.0,48.0
0.75,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,76.0,0.0,93.0,1.0,1.0,63.0
0.76,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,100.0,0.0,93.0,1.0,1.0,100.0
0.77,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,37.0,0.0,93.0,1.0,1.0,49.0
0.78,0.0,6.3,12.6,0.0,0.0,0.0,10.0,0.0,0.0,48.0,0.0,93.0,1.0,1.0,10.0
0.79,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,93.0,1.0,1.0,100.0
0.8,0.0,0.0,0.0,0.0,0.0,1.0,10.0,0.0,0.0,1.0,0.0,93.0,1.0,1.0,100.0
0.81,0.0,1.5,3.7,0.0,0.0,0.0,10.0,0.0,0.0,44.0,0.0,93.0,1.0,1.0,0.0
0.8200000000000001,0.0,6.5,12.9,0.0,0.0,0.0,10.0,0.0,0.0,29.0,0.0,93.0,1.0,1.0,13.0
0.8300000000000001,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,37.0,0.0,93.0,1.0,1.0,59.0
0.84,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,83.0,0.0,93.0,1.0,1.0,94.0
0.85,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,100.0,0.0,93.0,1.0,1.0,7.0
0.86,0.0,10.4,20.6,0.0,0.0,0.0,10.0,0.0,0.0,19.0,0.0,93.0,1.0,1.0,15.0
0.87,6.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,2.0,93.0,1.0,1.0,100.0
0.88,21.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,65.0,5.0,93.0,1.0,1.0,52.0
0.89,85.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,100.0,3.0,93.0,1.0,1.0,100.0
0.9,185.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,6.0,2.0,93.0,1.0,1.0,100.0
0.91,207.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,39.0,1.0,93.0,1.0,1.0,17.0
0.92,232.0,2.8,6.3,0.0,0.0,0.0,10.0,0.0,0.0,36.0,0.0,93.0,1.0,1.0,15.0
0.93,239.0,2.8,6.3,0.0,0.0,0.0,10.0,0.0,0.0,79.0,0.0,93.0,1.0,1.0,5.0
0.9400000000000001,240.0,3.2,7.0,0.0,0.0,0.0,10.0,0.0,0.0,64.0,0.0,93.0,1.0,1.0,6.0
0.9500000000000001,246.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,10.0,2.0,93.0,1.0,1.0,100.0
0.96,261.0,1.1,2.7,0.0,0.0,0.0,10.0,0.0,0.0,25.0,5.0,93.0,1.0,1.0,4.0
0.97,328.0,21.1,35.1,0.0,0.0,0.0,10.0,0.0,0.0,100.0,4.0,93.0,1.0,1.0,6.0
0.98,482.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,93.0,6.0,93.0,1.0,1.0,45.0
0.99,555.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,100.0,8.0,93.0,1.0,1.0,100.0
1.0,758.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,65.0,12.0,93.0,1.0,1.0,100.0
1.01,1015.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,8.0,10.0,93.0,1.0,1.0,86.0
